umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,botak_prob
36.0,Laki-laki,PNS,Palembang,8072967.457514823,0,0,51.563794198975415,158.4903333625143,Shoulder & Head,1,S2,0.3684419549587708
32.0,Perempuan,Freelance,Surabaya,6632271.43939927,1,0,83.05679431736473,162.1750481418879,Deadbuoy,0,S2,0.09148718480426034
35.0,Laki-laki,PNS,Palu,6737047.806216507,0,0,67.23830389007848,156.84420737680108,Merpati,1,SMA,0.39336240267490796
36.0,Laki-laki,Pegawai swasta,Samarinda,5252883.482593132,0,0,52.506471375096574,149.79420180167767,Deadbuoy,1,S1,0.30810410444110936
53.0,Laki-laki,Pengangguran,Ambon,8279310.25092869,1,0,58.474535226396384,165.10156194871712,Deadbuoy,0,S1,0.8236866324914649
60.0,Laki-laki,Pegawai swasta,Padang,5900884.636500131,0,1,53.911039760447444,170.60764882302334,Deadbuoy,1,S1,0.8454307878339179
29.0,Laki-laki,Freelance,Palembang,8737312.215935128,1,0,47.89932833927411,141.2361160040634,Pantone,0,SMA,0.22322167912697669
47.0,Laki-laki,PNS,Padang,6585541.708086439,1,0,68.1463069723497,168.5284128065264,Shoulder & Head,0,SMP,0.4255432862927674
32.0,Laki-laki,PNS,Tanjungselor,4833891.842542787,1,0,77.53928281154208,166.7455783667494,Deadbuoy,1,S1,0.5718946776154462
38.0,Laki-laki,PNS,Palangkaraya,9873778.706196107,1,0,44.901845670933895,157.7313600467276,Shoulder & Head,1,S2,0.5188712116829626
55.0,Laki-laki,Freelance,Denpasar,8405731.434879541,1,0,59.717053255354685,163.9434616109266,Deadbuoy,0,S1,0.498547137436437
44.0,Perempuan,PNS,Ambon,6507235.205761684,1,0,55.93571269187179,157.23014412898155,Merpati,0,S1,0.4138236198792014
49.0,Laki-laki,Freelance,Serang,4653500.412707759,0,0,50.28081321676251,154.24883375226796,Moonsilk,1,S1,0.33042534238602167
34.0,Laki-laki,PNS,Jakarta,3369428.492804135,0,0,74.12712608462232,170.24939627010988,Shoulder & Head,0,S3,0.33298842989971067
31.0,Laki-laki,Pegawai swasta,Tanjung Pinang,6479098.239053831,1,0,51.77728870992347,150.952052085789,Deadbuoy,1,S1,0.4239411540310455
55.0,Perempuan,Pegawai swasta,Tanjungselor,5326047.28829315,0,0,111.57145688013182,177.93288993696876,Deadbuoy,1,S3,0.45254185890182824
38.0,Laki-laki,Pegawai swasta,Surabaya,3925518.085732685,1,0,68.22217944011439,160.49338476250858,Moonsilk,1,SMA,0.4641716005788295
54.0,Laki-laki,Freelance,Manado,5331292.906823957,1,1,59.238318365512356,157.1293611536974,Deadbuoy,1,S1,0.7616915294366627
56.0,Laki-laki,Freelance,Jambi,8086211.840901047,1,1,49.1256777026673,155.95700793288498,Shoulder & Head,1,S1,0.7982058158450657
46.0,Laki-laki,Pegawai swasta,Palangkaraya,10165449.113797488,1,0,76.18835969822408,171.01426878746292,Pantone,0,SMA,0.4618388042200252
47.0,Laki-laki,Pegawai swasta,Makassar,8536983.758325368,1,1,59.69040215911242,164.01382959489487,Moonsilk,0,S1,0.7325533253986892
46.0,Perempuan,Freelance,Jakarta,6303776.089020284,1,1,58.68059450934844,154.59060179372833,Shoulder & Head,1,SMP,0.5801920608498407
33.0,Perempuan,PNS,Manokwari,4002173.96699491,1,0,59.92857893604493,159.78877329645326,Moonsilk,0,S2,0.3074017706991423
48.0,Perempuan,Pegawai swasta,Kendari,10784624.805338081,1,0,63.18118419480449,151.87824012175827,Deadbuoy,0,S1,0.22348107378245352
35.0,Laki-laki,PNS,Semarang,6933909.203573614,1,0,58.910618534648805,156.24681868174574,Moonsilk,1,S1,0.5341149522473055
48.0,Perempuan,PNS,Serang,6452575.404880389,1,0,54.36149553364612,166.88635121606114,Merpati,0,SMP,0.34729749825455397
45.0,Laki-laki,Pegawai swasta,Makassar,3906793.98487401,1,0,60.31221449778387,161.20611539705808,Merpati,0,S1,0.46216777586101915
38.0,Perempuan,PNS,Yogyakarta,8084191.172731475,0,0,52.323966678994715,153.5466755007128,Merpati,1,SMP,0.3538820439188113
50.0,Perempuan,PNS,Pangkalpinang,6225834.003824558,0,0,116.97911519176891,187.24705331262808,Merpati,1,S1,0.4890481029531301
15.0,Perempuan,Pegawai swasta,Makassar,4370235.109098924,1,0,64.08041130001763,160.14809476807147,Merpati,0,SMP,0.13820939051022957
39.0,Laki-laki,Pegawai swasta,Palangkaraya,3366222.9823351926,1,0,53.25311611587524,154.0805363783833,Moonsilk,0,S1,0.24206787545534494
